flux	10e	11e	20e	21e
-0.02656	15.02845	15.4	--	--
-0.02245	15.1307	15.6	--	--
-0.01834	15.24	15.72	--	--
-0.01423	15.36	15.84	--	--
-0.01012	15.4	15.94924	16.65	16.56
-0.006	15.48	16.08	16.57	16.47
-0.00189	15.5	16.2	16.53	16.38
0.00222	15.5	16.19695	16.55	16.34944
0.00633	15.47	16.07782	16.57	16.45
0.01044	15.4	15.94	16.62	16.56
0.01456	15.36	15.8	--	--
0.01867	15.24	15.69586	--	--
0.02278	15.2	15.6	--	--
0.02689	15.06	15.48	--	--
0.031	14.94115	15.3	--	--
0.03923	14.7	15	--	--
0.05567	14.3	14.5	--	--
0.07212	13.8	13.8	--	--
0.08857	13.3	13.3	--	--
0.10502	12.8	12.8	--	--
0.12146	12.3	12.3	--	--
0.13791	11.9	11.9	--	--
0.15436	11.35	11.35	--	--
0.17081	10.8	10.8	--	--
0.18725	10.3	10.3	--	--
0.2037	9.78801	9.75525	--	--
0.22015	9.27903	9.22752	--	--
0.2366	8.8	8.65	--	--
0.25304	8.3	8.2	--	--
0.26949	7.79133	7.67264	--	--
0.31883	6.30304	6.07884	--	--
0.33528	5.80593	5.5	--	--
0.35173	5.3	4.9	--	--
0.36817	4.7	4.49016	--	--
0.38462	4.3	3.97869	--	--
0.40107	3.8	3.46721	--	--
0.41752	3.4	2.95574	--	--
0.43396	3	2.34	--	--
0.45041	2.6	1.83	--	--
0.46686	2.3	1.40164	--	--
0.48331	2.1	0.96393	--	--
0.49153	2.075	0.72	--	--
0.49564	2.08	0.53	--	--
0.49975	2.05	--	--	--
0.50798	2.087	0.83	--	--
0.5162	2.1	1.02	--	--
0.52031	2.17	1.1	--	--
0.52442	2.2	1.25	--	--
0.53265	2.3	1.45	--	--
0.54087	2.43	1.59	--	--
0.5491	2.6	1.78	--	--
0.56554	2.9	2.2	--	--
0.58199	3.3	--	--	--
